"Time","Feeder","Bare.ground","LCL","UCL"
"Year 0","Feeder",0.0177,0.00793,0.039
"Year 0","No feeder",0.00981,0.00362,0.0263
"Year 1","Feeder",0.58409,0.46389,0.6951
"Year 1","No feeder",0.01354,0.00563,0.0322
"Year 2","Feeder",0.67872,0.57527,0.7672
"Year 2","No feeder",0.02259,0.01236,0.0409
