"Time","Feeder","Herbivory","LCL","UCL"
"Year 1","Feeder",0.02505,0.01591,0.03924
"Year 1","No feeder",0.0107,0.00665,0.01715
"Year 2","Feeder",0.00514,0.00318,0.0083
"Year 2","No feeder",0.00217,0.00132,0.00358
